# az ab Ms amp Vgr dist
213.001 276.598 3.24479 337.386 2.78024 1075.36
335.443 307.719 3.29401 364.521 2.8042 1081.22
336.146 290.328 3.28076 352.878 2.81428 1105.61
210.54 313.006 3.31715 389.252 2.78053 1113.27
211.204 312.223 3.30399 386.869 2.78049 1088.63
336.97 288.557 3.27402 355.615 2.81436 1097.28
337.626 282.432 3.27676 339.909 2.82304 1122.06
209.447 322.593 3.32515 383.764 2.78047 1102.81
210.096 328.89 3.32128 391.331 2.78089 1077.95
337.808 288.401 3.26982 334.917 2.817 1089.23
338.445 275.227 3.26175 310.584 2.82794 1114.22
207.731 328.677 3.34059 390.073 2.779 1117.87
208.335 338.029 3.34049 397.796 2.77901 1092.69
338.659 280.449 3.25384 319.804 2.82269 1081.47
339.278 269.023 3.24817 301.84 2.8328 1106.67
206.617 339.43 3.34993 401.499 2.77895 1108.31
207.203 344.113 3.34341 406.17 2.77868 1082.94
340.123 266.061 3.23982 300.485 2.83468 1099.41
340.694 254.818 3.23346 282.639 2.84257 1124.94
204.942 327.781 3.34274 395.197 2.77975 1124.78
205.485 349.512 3.35815 417.771 2.77852 1099.12
340.979 264.819 3.23436 285.113 2.83618 1092.44
341.53 252.164 3.22564 266.77 2.84442 1118.16
203.812 309.803 3.31407 373.611 2.78066 1116.14
204.336 329.525 3.32824 395.423 2.77982 1090.3
341.848 261.588 3.22573 264.484 2.84012 1085.77
342.378 250.377 3.21941 253.349 2.8488 1111.67
202.666 306.133 3.30488 351.687 2.78159 1107.88
203.17 322.133 3.31421 367.103 2.78161 1081.86
342.729 255.03 3.21154 261.85 2.84629 1079.4
343.236 243.067 3.20353 259.678 2.85416 1105.49
201.504 287.338 3.27352 343.583 2.78227 1100.01
344.105 243.109 3.20073 277.61 2.85554 1099.6
199.888 271.62 3.2583 326.499 2.78616 1118.94
200.327 278.277 3.25593 330.186 2.78585 1092.53
344.984 238.886 3.19038 282.344 2.85894 1094.02
345.423 229.453 3.18579 277.579 2.86488 1120.52
198.718 264.227 3.24296 323.056 2.78829 1112.02
199.135 271.126 3.24113 324.461 2.78886 1085.46
345.872 240.652 3.19098 291.909 2.86207 1088.75
346.288 228.458 3.18143 282.737 2.86812 1115.4
197.535 260.185 3.2331 326.056 2.78852 1105.51
197.929 271.902 3.23907 333.264 2.78903 1078.81
346.77 244.662 3.19571 299.441 2.86624 1083.8
347.161 234.904 3.19118 288.625 2.87188 1110.59
196.34 247.97 3.20923 302.373 2.79031 1099.41
347.676 251.534 3.20544 303.494 2.86994 1079.17
348.043 239.204 3.19687 298.804 2.87446 1106.1
194.804 250.409 3.22385 311.333 2.78588 1120.72
195.132 256.284 3.22077 316.317 2.78795 1093.73
348.932 246.582 3.20802 311.566 2.87664 1101.92
193.609 250.91 3.22223 304.252 2.78389 1115.58
193.913 258.214 3.22143 314.125 2.78605 1088.48
349.828 247.837 3.20834 305.131 2.8788 1098.06
192.405 254.355 3.22587 310.405 2.77668 1110.87
192.684 264.268 3.22911 324.525 2.77887 1083.66
350.731 249.342 3.20923 293.898 2.88299 1094.52
351.005 241.983 3.20952 286.287 2.88655 1121.83
191.192 265.669 3.24268 312.452 2.77131 1106.59
191.445 272.92 3.24093 317.967 2.77327 1079.28
351.64 251.191 3.21086 294.22 2.88291 1091.32
351.888 245.26 3.21386 289.168 2.8868 1118.72
189.97 256.753 3.22598 312.546 2.76707 1102.74
190.196 260.505 3.21875 317.675 2.76819 1075.35
352.554 248.265 3.20435 276.046 2.88585 1088.44
352.776 242.213 3.20708 268.974 2.88828 1115.92
188.741 261.289 3.23192 336.272 2.75956 1099.34
353.474 243.809 3.19522 282.49 2.88758 1085.89
353.669 235.981 3.19456 274.678 2.88949 1113.45
187.341 272.305 3.2618 303.603 2.75104 1123.92
187.505 275.766 3.25389 309.816 2.7532 1096.38
354.398 245.101 3.19642 298.822 2.88476 1083.68
354.566 235.413 3.19247 294.176 2.88686 1111.31
186.126 258.127 3.23739 285.354 2.74833 1121.46
186.263 264.264 3.23415 283.021 2.75095 1093.87
355.325 248.162 3.20088 308.042 2.88372 1081.8
355.466 238.267 3.19682 299.581 2.88622 1109.49
184.906 253.76 3.22901 357.956 2.74671 1119.45
185.016 264.347 3.23327 364.183 2.7457 1091.81
356.256 246.176 3.19663 296.618 2.88447 1080.27
356.369 235.555 3.19112 288.585 2.88729 1108
183.683 241.686 3.20708 337.19 2.74797 1117.88
183.766 253.053 3.21352 343.447 2.7474 1090.21
357.19 236.731 3.17904 275.026 2.88964 1079.07
357.275 226.576 3.17368 266.258 2.89162 1106.84
182.457 204.717 3.13444 248.857 2.75658 1116.76
182.512 215.038 3.14226 266.034 2.75682 1089.06
358.126 226.559 3.15955 267.876 2.8954 1078.21
358.182 216.457 3.15343 251.857 2.89747 1106.01
181.229 198.753 3.12127 234.679 2.75282 1116.09
181.257 212.195 3.13614 251.252 2.75284 1088.38
359.062 221.846 3.15016 262.717 2.89598 1077.7
359.091 211.118 3.14234 244.012 2.89704 1105.51
180 221.493 3.16821 234.364 2.734 1115.86
180 227.593 3.16645 225.016 2.73582 1088.15
178.771 217.867 3.16115 269.673 2.71105 1116.09
178.743 225.673 3.16288 261.539 2.71069 1088.38
177.543 204.229 3.1334 264.114 2.71164 1116.76
177.488 214.478 3.14113 270.903 2.71184 1089.06
176.317 206.254 3.13823 246.703 2.70985 1117.88
176.234 214.651 3.14204 251.647 2.71043 1090.21
175.094 202.915 3.1319 241.636 2.70607 1119.45
174.984 214.614 3.14276 245.924 2.70404 1091.81
173.874 214.532 3.15705 214.493 2.70062 1121.46
173.737 230.095 3.17402 218.253 2.69687 1093.87
172.659 251.58 3.22742 223.588 2.68701 1123.92
172.495 280.334 3.26102 244.058 2.67986 1096.38
171.259 328.428 3.33124 273.256 2.65947 1099.34
170.03 404.881 3.42379 453.038 2.63059 1102.74
169.804 436.346 3.44277 553.486 2.62331 1075.35
168.808 447.375 3.46901 659.511 2.62439 1106.59
168.555 457.165 3.46497 704.819 2.61584 1079.28
167.595 419.413 3.44307 612.885 2.61369 1110.87
167.316 410.544 3.42043 612.839 2.60484 1083.66
166.391 333.733 3.34611 571.036 2.58937 1115.58
166.087 336.159 3.336 548.758 2.58132 1088.48
165.196 207.337 3.14187 363.728 2.61474 1120.72
164.868 202.851 3.11922 355.463 2.60723 1093.73
163.66 262.848 3.23454 171.837 2.6117 1099.41
