# az ab Ms amp Vgr
219.611 145.288 3.21984 164.621 2.77118
217.901 90.5697 3.02632 208.412 2.81115
218.397 62.1559 2.85465 134.499 2.8219
218.907 52.0115 2.76905 60.5551 2.74668
217.196 127.976 3.17204 246.981 2.80092
217.688 106.012 3.082 231.703 2.8016
216.007 131.441 3.18759 108.053 2.81969
216.481 138.247 3.20119 169.852 2.8003
216.969 133.233 3.17678 226.773 2.79603
215.288 125.634 3.16373 143.792 2.82554
215.757 130.822 3.17289 132.476 2.81819
214.108 122.98 3.15872 154.865 2.83289
214.56 124.445 3.15542 158.562 2.82736
213.376 124.262 3.15919 160.364 2.83446
213.822 127.824 3.16293 163.026 2.82921
212.208 124.621 3.16504 157.436 2.8389
212.636 125.744 3.16037 162.054 2.83525
213.076 131.079 3.16978 169.564 2.83037
211.464 128.698 3.17519 160.865 2.83728
211.886 131.113 3.17461 161.121 2.83478
210.712 133.077 3.18596 165.601 2.83435
211.128 135.282 3.18435 167.07 2.83255
209.555 134.038 3.19415 163.22 2.83184
209.952 139.099 3.20148 167.644 2.83078
208.793 145.996 3.22772 182.133 2.82395
209.183 148.372 3.22588 183.103 2.82453
207.651 145.831 3.2326 173.356 2.81488
208.023 151.075 3.23909 179.718 2.81726
206.881 169.382 3.29429 223.235 2.80026
207.245 169.818 3.28647 216.025 2.80433
206.102 169.478 3.29129 214.616 2.79136
206.458 169.402 3.28208 206.389 2.79521
204.979 188.118 3.34244 273.567 2.77653
205.316 192.702 3.34388 276.981 2.7804
204.193 163.548 3.27863 221.823 2.76989
204.523 171.74 3.29077 233.03 2.77372
203.401 171.206 3.29556 258.896 2.76075
203.722 176.927 3.30068 268.367 2.76366
202.299 142.331 3.22161 210.916 2.75649
202.602 151.304 3.23903 218.913 2.75876
201.502 145.341 3.22799 219.144 2.75001
201.795 154.295 3.24476 226.3 2.75212
200.698 140.094 3.2094 196.463 2.75111
200.982 142.452 3.20738 200.301 2.75305
199.888 156.365 3.25459 235.28 2.74439
198.814 138.355 3.20829 191.922 2.74657
199.071 144.345 3.2174 200.306 2.74743
198.001 134.626 3.19413 202.008 2.74138
198.249 141.411 3.20613 209.062 2.74241
197.183 121.498 3.14736 156.365 2.74406
197.421 125.685 3.15267 161.662 2.74559
196.36 122.135 3.14752 184.101 2.73883
195.321 126.169 3.16903 157.487 2.73431
195.531 126.137 3.15951 158.978 2.73767
194.498 136.583 3.20161 218.406 2.72797
194.697 137.656 3.19555 216.399 2.73031
193.67 146.75 3.23102 206.244 2.72335
193.859 148.555 3.22683 204.032 2.72585
192.837 147.082 3.23033 231.773 2.7244
193.015 150.501 3.23076 235.445 2.72598
192.001 151.063 3.24035 222.3 2.71985
191.009 137.496 3.20753 199.52 2.71974
191.16 143.308 3.216 208.047 2.72124
190.176 134.408 3.19633 186.056 2.71661
190.316 139.736 3.20367 196.628 2.71785
189.34 122.039 3.15318 135.791 2.7196
189.469 124.824 3.1534 141.253 2.72215
188.501 133.662 3.19156 196.179 2.71563
188.618 136.252 3.19028 195.702 2.7173
187.659 147.501 3.23332 222.975 2.71004
187.765 150.215 3.23161 222.998 2.71188
186.814 144.973 3.22489 233.737 2.7089
186.909 151.543 3.23448 237.366 2.7098
185.967 138.902 3.2055 226.207 2.71137
186.05 144.842 3.21401 228.637 2.71191
185.118 133.641 3.18803 226.09 2.7166
185.19 140.368 3.19966 244.05 2.71628
184.268 140.444 3.20899 226.268 2.71371
183.416 135.917 3.19428 195.96 2.71614
182.563 131.022 3.17796 176.319 2.71995
181.709 139.138 3.20379 183.004 2.71824
180.855 129.231 3.17155 165.863 2.72432
180 121.288 3.14395 159.12 2.72648
179.145 117.892 3.13167 168.489 2.73123
178.291 105.408 3.08322 161.184 2.74121
177.437 94.9892 3.03829 138.508 2.74868
176.584 98.7587 3.05558 161.664 2.74648
175.732 93.0499 3.03021 165.918 2.74472
174.882 80.017 2.96527 109.562 2.74588
174.81 79.3191 2.95177 103.82 2.74587
174.033 88.0352 3.00745 124.986 2.56641
173.95 86.9791 2.99253 126.333 2.56133
173.186 80.6022 2.96995 120.395 2.57296
173.091 82.3969 2.96986 129.661 2.56855
172.341 84.1022 2.98933 100.644 2.57313
172.235 87.8156 2.99846 96.8036 2.5706
171.499 109.09 3.10333 143.59 2.59177
171.382 114.237 3.11375 135.874 2.58633
170.66 131.992 3.18722 232.568 2.63937
170.531 138.984 3.20006 216.496 2.6354
169.824 194.216 3.35619 258.307 2.70021
169.684 211.07 3.38279 280.992 2.69612
168.991 234.19 3.43881 131.868 2.71921
168.84 250.492 3.45852 149.811 2.71239
